Algorithm,Instance,Time(ms)
fast_greedy,1000_0.3network.txt,80
fast_greedy,1000_0.4network.txt,82
fast_greedy,1000_0.5network.txt,89
fast_greedy,1000_0.6network.txt,114
fast_greedy,1000_0.7network.txt,120
fast_greedy,1000_0.8network.txt,145
fast_greedy,500_0.4network.txt,22
fast_greedy,500_0.5network.txt,30
fast_greedy,500_0.6network.txt,30
fast_greedy,500_0.7network.txt,33
fast_greedy,500_0.8network.txt,31
eigenvector,1000_0.3network.txt,870
eigenvector,1000_0.4network.txt,719
eigenvector,1000_0.5network.txt,741
eigenvector,1000_0.6network.txt,369
eigenvector,1000_0.7network.txt,377
eigenvector,1000_0.8network.txt,420
eigenvector,500_0.4network.txt,294
eigenvector,500_0.5network.txt,174
eigenvector,500_0.6network.txt,177
eigenvector,500_0.7network.txt,172
eigenvector,500_0.8network.txt,215
label_propagation,1000_0.3network.txt,3
label_propagation,1000_0.4network.txt,4
label_propagation,1000_0.5network.txt,5
label_propagation,1000_0.6network.txt,6
label_propagation,1000_0.7network.txt,3
label_propagation,1000_0.8network.txt,4
label_propagation,500_0.4network.txt,1
label_propagation,500_0.5network.txt,2
label_propagation,500_0.6network.txt,2
label_propagation,500_0.7network.txt,2
label_propagation,500_0.8network.txt,2
multilevel,1000_0.3network.txt,75
multilevel,1000_0.4network.txt,12
multilevel,1000_0.5network.txt,16
multilevel,1000_0.6network.txt,18
multilevel,1000_0.7network.txt,31
multilevel,1000_0.8network.txt,31
multilevel,500_0.4network.txt,6
multilevel,500_0.5network.txt,6
multilevel,500_0.6network.txt,8
multilevel,500_0.7network.txt,14
multilevel,500_0.8network.txt,13
edge_betweenness,1000_0.3network.txt,929689
edge_betweenness,1000_0.4network.txt,1293816
edge_betweenness,1000_0.5network.txt,2098782
edge_betweenness,1000_0.6network.txt,2400315
edge_betweenness,1000_0.7network.txt,2522520
edge_betweenness,1000_0.8network.txt,2603402
edge_betweenness,500_0.4network.txt,186617
edge_betweenness,500_0.5network.txt,254959
edge_betweenness,500_0.6network.txt,316304
edge_betweenness,500_0.7network.txt,278364
edge_betweenness,500_0.8network.txt,278199
spinglass,1000_0.3network.txt,21189
spinglass,1000_0.4network.txt,18105
spinglass,1000_0.5network.txt,22104
spinglass,1000_0.6network.txt,27019
spinglass,1000_0.7network.txt,31784
spinglass,1000_0.8network.txt,44934
spinglass,500_0.4network.txt,8531
spinglass,500_0.5network.txt,9949
spinglass,500_0.6network.txt,9324
spinglass,500_0.7network.txt,19857
spinglass,500_0.8network.txt,19883
walktrap,1000_0.3network.txt,324
walktrap,1000_0.4network.txt,289
walktrap,1000_0.5network.txt,326
walktrap,1000_0.6network.txt,324
walktrap,1000_0.7network.txt,355
walktrap,1000_0.8network.txt,414
walktrap,500_0.4network.txt,85
walktrap,500_0.5network.txt,87
walktrap,500_0.6network.txt,93
walktrap,500_0.7network.txt,98
walktrap,500_0.8network.txt,105
